"FullName","TamanhoKB","DataModificacao"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\encode_seed.py","2,17","2025-09-09 20:44"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\inspect_seed.py","1,09","2025-09-09 15:29"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\make_seed_lzma.py.py","1,37","2025-09-09 15:34"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\ProvaTeiaRemota.PNG.seed.txt","3100,61","2025-09-10 00:11"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\restaurador_seed_teia.py","1,03","2025-09-09 17:07"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\restaurador_seed_teia.py.py","1,03","2025-09-09 17:07"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\restore_seed_lzma.py","1,13","2025-09-09 15:35"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\restored_ProvaTeiaRemota.PNG","2348,64","2025-09-09 15:35"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\seed_hashonly_ProvaTeiaRemota.PNG_2025-09-09T15-31-09.json","0,18","2025-09-09 15:31"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\seed_ProvaTeiaRemota.PNG_2025-09-09T15-18-41.txt","3131,79","2025-09-09 15:18"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\seed_ProvaTeiaRemota.PNG_2025-09-09T15-34-02.lzma","2320,73","2025-09-09 15:34"
"D:\iCloudDrive\1-Pessoal\Felippe Pessoal\Creator\Vídeos\Editar\@IA\TEIA\Núcleo\TEIA\seed_ProvaTeiaRemota.PNG_2025-09-09T15-34-02.meta.json","0,32","2025-09-09 15:34"
